a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,6.51,Los Angeles Clippers,timeout,,,,,,,,,,,,,,,,,,,8-15,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=49,
,,,,,,,,,,1,6.51,Golden State Warriors,substitute,,,,Biedrins,,Ezeli,,,,,,,,,,,,,8-15,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=53,
,,,,,,,,,,1,6.38,Los Angeles Clippers,shot,,,,,,,,,,Jordan,,,,missed,,Layup,,,8-15,2,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=51,
,,,,,,,,,,1,6.37,Golden State Warriors,rebound,,,,,,,,,,Biedrins,,,,,,,,,8-15,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=52,
,,,,,,,,,,1,6.23,Golden State Warriors,shot,Lee,,,,,,,,,Thompson,3,,,made,,3PT Jump Shot,,,8-18,27,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=54,
,,,,,,,,,,1,6.12,Los Angeles Clippers,shot,,,,,,,,,,Green,,,,missed,,Layup,,,8-18,3,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=55,
,,,,,,,,,,1,6.11,Golden State Warriors,rebound,,,,,,,,,,Barnes,,,,,,,,,8-18,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=56,
,,,,,,,,,,1,6.04,Golden State Warriors,shot,Barnes,,,,,,,,,Curry,3,,,made,,3PT Jump Shot,,,8-21,24,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=57,
,,,,,,,,,,1,5.40,Los Angeles Clippers,shot,,,,,,,,,,Griffin,,,,missed,,Jump Shot,,,8-21,8,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=58,
,,,,,,,,,,1,5.38,Golden State Warriors,rebound,,,,,,,,,,Thompson,,,,,,,,,8-21,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=59,
,,,,,,,,,,1,5.34,Golden State Warriors,shot,,,,,,,,,,Thompson,,,,missed,,Layup,,,8-21,1,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=60,
,,,,,,,,,,1,5.28,Golden State Warriors,rebound,,,,,,,,,,Barnes,,,,,,,,,8-21,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=62,
,,,,,,,,,,1,5.28,Golden State Warriors,shot,,,,,,,,,,Barnes,,,,missed,,Layup,,,8-21,1,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=61,
,,,,,,,,,,1,5.27,Los Angeles Clippers,rebound,,,,,,,,,,Jordan,,,,,,,,,8-21,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=63,
,,,,,,,,,,1,5.26,Los Angeles Clippers,shot,,,,,,,,,,Barnes,,,,missed,,Layup,,,8-21,1,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=64,
,,,,,,,,,,1,5.24,Golden State Warriors,rebound,,,,,,,,,,Lee,,,,,,,,,8-21,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=65,
,,,,,,,,,,1,5.21,Golden State Warriors,shot,Curry,,,,,,,,,Barnes,2,,,made,,Layup,,,8-23,2,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=66,
,,,,,,,,,,1,5.00,Los Angeles Clippers,shot,,,,,,,,,,Griffin,,,,missed,,Jump Shot,,,8-23,13,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=67,
,,,,,,,,,,1,4.59,Golden State Warriors,rebound,,,,,,,,,,Biedrins,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=68,
,,,,,,,,,,1,4.35,Golden State Warriors,shot,,,,,,,,,,Thompson,,,,missed,,3PT Jump Shot,,,8-23,28,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=69,
,,,,,,,,,,1,4.34,Los Angeles Clippers,rebound,,,,,,,,,,Griffin,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=70,
,,,,,,,,,,1,4.25,Los Angeles Clippers,shot,,,,,,,,,,Green,,,,missed,,3PT Jump Shot,,,8-23,26,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=71,
,,,,,,,,,,1,4.23,Los Angeles Clippers,rebound,,,,,,,,,,Jordan,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=72,
,,,,,,,,,,1,4.23,Golden State Warriors,foul,,,,,,,,,,Lee,,,,,,Shooting,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=73,
,,,,,,,,,,1,4.23,Los Angeles Clippers,free throw,,,,,,,1,,2,Jordan,,,foul,missed,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=74,
,,,,,,,,,,1,4.23,Los Angeles Clippers,rebound,,,,,,,,,,,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=75,
,,,,,,,,,,1,4.23,Los Angeles Clippers,substitute,,,,Crawford,,Green,,,,,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=76,
,,,,,,,,,,1,4.23,Golden State Warriors,substitute,,,,Jack,,Barnes,,,,,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=77,
,,,,,,,,,,1,4.23,Los Angeles Clippers,free throw,,,,,,,2,,2,Jordan,,,foul,missed,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=78,
