a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,4.46,Cleveland Cavaliers,substitute,,,,Waiters,,Gee,,,,,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=91,
,,,,,,,,,,1,4.38,Sacramento Kings,shot,,,,,,,,,,Thomas,,,,missed,,Jump Bank Shot,,,15-15,8,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=92,
,,,,,,,,,,1,4.37,Cleveland Cavaliers,rebound,,,,,,,,,,Walton,,,,,,,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=93,
,,,,,,,,,,1,4.34,Sacramento Kings,foul,,,,,,,,,,Salmons,,,,,,Shooting,,,15-15,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=94,
,,,,,,,,,,1,4.34,Cleveland Cavaliers,free throw,,,,,,,1,,2,Irving,1,,foul,made,,,,,15-16,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=95,
,,,,,,,,,,1,4.34,Sacramento Kings,substitute,,,,Brooks,,Thomas,,,,,,,,,,,,,15-16,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=97,
,,,,,,,,,,1,4.34,Cleveland Cavaliers,free throw,,,,,,,2,,2,Irving,1,,foul,made,,,,,15-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=98,
,,,,,,,,,,1,4.20,Cleveland Cavaliers,foul,,,,,,,,,,Walton,,,,,,Personal,,,15-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=100,
,,,,,,,,,,1,4.20,Sacramento Kings,free throw,,,,,,,1,,2,Cousins,1,,foul,made,,,,,16-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=101,
,,,,,,,,,,1,4.20,Sacramento Kings,free throw,,,,,,,2,,2,Cousins,1,,foul,made,,,,,17-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=103,
,,,,,,,,,,1,4.09,Cleveland Cavaliers,shot,,,,,,,,,,Walton,,,,missed,,Jump Shot,,,17-17,19,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=105,
,,,,,,,,,,1,4.08,Sacramento Kings,rebound,,,,,,,,,,Garcia,,,,,,,,,17-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=106,
,,,,,,,,,,1,3.55,Sacramento Kings,shot,Garcia,,,,,,,,,Cousins,2,,,made,,Layup,,,19-17,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=107,
,,,,,,,,,,1,3.44,Cleveland Cavaliers,shot,,,,,,,,,,Miles,,,,missed,,3PT Jump Shot,,,19-17,25,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=108,
,,,,,,,,,,1,3.42,Sacramento Kings,rebound,,,,,,,,,,Cousins,,,,,,,,,19-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=109,
,,,,,,,,,,1,3.36,Sacramento Kings,shot,Salmons,,,,,,,,,Thompson,2,,,made,,Layup,,,21-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=110,
,,,,,,,,,,1,3.17,Cleveland Cavaliers,shot,,,,,,,,,,Walton,,,,missed,,3PT Jump Shot,,,21-17,25,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=111,
,,,,,,,,,,1,3.16,Sacramento Kings,rebound,,,,,,,,,,Garcia,,,,,,,,,21-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=112,
,,,,,,,,,,1,3.04,Sacramento Kings,substitute,,,,Fredette,,Salmons,,,,,,,,,,,,,21-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=114,
,,,,,,,,,,1,3.04,Sacramento Kings,substitute,,,,Johnson,,Garcia,,,,,,,,,,,,,21-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=115,
,,,,,,,,,,1,3.04,Sacramento Kings,timeout,,,,,,,,,,,,,,,,,,,21-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=116,
,,,,,,,,,,1,2.57,Sacramento Kings,turnover,,,,,,,,,,Fredette,,,Step Out of Bounds,,,,,,21-17,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=120,
,,,,,,,,,,1,2.35,Cleveland Cavaliers,shot,Walton,,,,,,,,,Miles,3,,,made,,3PT Jump Shot,,,21-20,27,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=121,
,,,,,,,,,,1,2.08,Sacramento Kings,shot,,,,,,,,,,Brooks,,,,missed,,Jump Shot,,,21-20,10,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=123,
,,,,,,,,,,1,2.07,Cleveland Cavaliers,rebound,,,,,,,,,,Miles,,,,,,,,,21-20,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=124,
,,,,,,,,,,1,1.54,Cleveland Cavaliers,shot,Irving,,,,,,,,,Miles,2,,,made,,Turnaround Jump Shot,,,21-22,12,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=125,
