a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,4.51,New York Knicks,turnover,,,,,,,,,,Chandler,,,3 Second Violation,,,,,,21-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=59,
,,,,,,,,,,1,4.40,Portland Trail Blazers,shot,,,,,,,,,,Lillard,,,,missed,,Jump Shot,,,21-18,12,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=60,
,,,,,,,,,,1,4.38,New York Knicks,rebound,,,,,,,,,,Anthony,,,,,,,,,21-18,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=61,
,,,,,,,,,,1,4.30,New York Knicks,shot,,,,,,,,,,Smith,2,,,made,,Fadeaway Bank Shot,,,21-20,6,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=62,
,,,,,,,,,,1,4.16,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Jump Shot,,,21-20,14,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=64,
,,,,,,,,,,1,4.16,Portland Trail Blazers,rebound,,,,,,,,,,Jeffries,,,,,,,,,21-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=65,
,,,,,,,,,,1,4.16,New York Knicks,foul,,,,,,,,,,Anthony,,,,,,Loose ball,,,21-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=66,
,,,,,,,,,,1,4.16,New York Knicks,substitute,,,,Novak,,Brewer,,,,,,,,,,,,,21-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=68,
,,,,,,,,,,1,4.16,New York Knicks,substitute,,,,Prigioni,,Kidd,,,,,,,,,,,,,21-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=67,
,,,,,,,,,,1,4.10,Portland Trail Blazers,shot,Batum,,,,,,,,,Lillard,2,,,made,,Dunk,,,23-20,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=69,
,,,,,,,,,,1,3.54,New York Knicks,shot,,,,,,,,,,Anthony,,,,missed,,3PT Jump Shot,,,23-20,26,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=71,
,,,,,,,,,,1,3.51,Portland Trail Blazers,rebound,,,,,,,,,,Lillard,,,,,,,,,23-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=72,
,,,,,,,,,,1,3.38,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Layup,,,23-20,3,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=73,
,,,,,,,,,,1,3.36,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,23-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=74,
,,,,,,,,,,1,3.31,Portland Trail Blazers,shot,,,,,,,,,,Claver,,,,missed,,3PT Jump Shot,,,23-20,24,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=75,
,,,,,,,,,,1,3.31,New York Knicks,rebound,,,,,,,,,,,,,,,,,,,23-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=76,
,,,,,,,,,,1,3.31,Portland Trail Blazers,foul,,,,,,,,,,Aldridge,,,,,,Loose ball,,,23-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=77,
,,,,,,,,,,1,3.31,New York Knicks,substitute,,,,Stoudemire,,Chandler,,,,,,,,,,,,,23-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=78,
,,,,,,,,,,1,3.16,New York Knicks,turnover,,,,,,,,,,Stoudemire,,,Step Out of Bounds,,,,,,23-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=79,
,,,,,,,,,,1,2.57,Portland Trail Blazers,shot,Batum,,,,,,,,,Aldridge,2,,,made,,Jump Shot,,,25-20,17,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=80,
,,,,,,,,,,1,2.49,New York Knicks,turnover,,,,,,,,,,Smith,,,Bad Pass,,,,,,25-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=81,
,,,,,,,,,,1,2.46,New York Knicks,foul,,,,,,,,,,Anthony,,,,,,Shooting,,,25-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=82,
,,,,,,,,,,1,2.46,Portland Trail Blazers,timeout,,,,,,,,,,,,,,,,,,,25-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=83,
,,,,,,,,,,1,2.46,New York Knicks,substitute,,,,Copeland,,Anthony,,,,,,,,,,,,,25-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=85,
,,,,,,,,,,1,2.46,Portland Trail Blazers,free throw,,,,,,,1,,2,Lillard,,,foul,missed,,,,,25-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=86,
,,,,,,,,,,1,2.46,Portland Trail Blazers,rebound,,,,,,,,,,,,,,,,,,,25-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=87,
,,,,,,,,,,1,2.46,Portland Trail Blazers,free throw,,,,,,,2,,2,Lillard,1,,foul,made,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=88,
,,,,,,,,,,1,2.37,Portland Trail Blazers,violation,,,,,,,,,,Batum,,,Kicked Ball,,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=90,
,,,,,,,,,,1,2.37,Portland Trail Blazers,substitute,,,,Price,,Lillard,,,,,,,,,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=91,
,,,,,,,,,,1,2.32,New York Knicks,shot,,,,,,,,,,Stoudemire,,,,missed,,Jump Shot,,,26-20,14,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=92,
,,,,,,,,,,1,2.30,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=93,
,,,,,,,,,,1,2.09,Portland Trail Blazers,shot,,,,,,,,,,Price,,,,missed,,3PT Jump Shot,,,26-20,26,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=95,
,,,,,,,,,,1,2.08,New York Knicks,rebound,,,,,,,,,,,,,,,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=96,
,,,,,,,,,,1,1.54,New York Knicks,shot,,,,,,,,,,Copeland,,,,missed,,3PT Jump Shot,,,26-20,24,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=97,
,,,,,,,,,,1,1.52,Portland Trail Blazers,rebound,,,,,,,,,,Batum,,,,,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=98,
,,,,,,,,,,1,1.43,Portland Trail Blazers,shot,,,,,,,,,,Claver,,,,missed,,Layup,,,26-20,2,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=99,
,,,,,,,,,,1,1.41,Portland Trail Blazers,rebound,,,,,,,,,,Aldridge,,,,,,,,,26-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=100,
,,,,,,,,,,1,1.38,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,2,,,made,,Layup,,,28-20,1,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=101,
,,,,,,,,,,1,1.28,New York Knicks,shot,,,,,,,,,,Stoudemire,,,,missed,,Jump Shot,,,28-20,4,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=102,
,,,,,,,,,,1,1.26,Portland Trail Blazers,rebound,,,,,,,,,,Price,,,,,,,,,28-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=103,
,,,,,,,,,,1,1.16,Portland Trail Blazers,shot,,,,,,,,,,Aldridge,,,,missed,,Jump Shot,,,28-20,10,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=104,
,,,,,,,,,,1,1.14,New York Knicks,rebound,,,,,,,,,,Prigioni,,,,,,,,,28-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=105,
,,,,,,,,,,1,1.03,New York Knicks,shot,,,,,,,,,,Copeland,,,,missed,,3PT Jump Shot,,,28-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=106,
