a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance 
,,,,,,,,,,1,0.57,Oklahoma City Thunder,rebound,,,,,,,,,,Harden,,,,,,,,,16-18,,
,,,,,,,,,,1,0.52,Oklahoma City Thunder,shot,,,,,,,,,,Harden,2,,,made,,Driving Layup,,,18-18,1,
,,,,,,,,,,1,0.39,Dallas Mavericks,shot,,,,,,,,,,Terry,2,,,made,,Floating Jump Shot,,,18-20,5,
,,,,,,,,,,1,0.24,Dallas Mavericks,foul,,,,,,,,,,Mahinmi,,,,,,Shooting,,,18-20,,
,,,,,,,,,,1,0.24,Oklahoma City Thunder,free throw,,,,,,,1,,2,Ibaka,1,,foul,made,,,,,19-20,,
,,,,,,,,,,1,0.24,Oklahoma City Thunder,substitute,,,,Hayward,,Durant,,,,,,,,,,,,,19-20,,
,,,,,,,,,,1,0.24,Dallas Mavericks,substitute,,,,Beaubois,,Mahinmi,,,,,,,,,,,,,19-20,,
,,,,,,,,,,1,0.24,Oklahoma City Thunder,free throw,,,,,,,2,,2,Ibaka,1,,foul,made,,,,,20-20,,
,,,,,,,,,,1,0.01,Dallas Mavericks,shot,,,,,,,,,,Nowitzki,,,,missed,,3PT Jump Shot,,,20-20,30,
,,,,,,,,,,1,0.00,Oklahoma City Thunder,rebound,,,,,,,,,,Hayward,,,,,,,,,20-20,,
,,,,,,,,,,1,0.00,Oklahoma City Thunder,shot,,,,,,,,,,Hayward,,,,missed,,Jump Shot,,,20-20,4,
,,,,,,,,,,1,0.00,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,20-20,,
,,,,,,,,,,2,11.42,Dallas Mavericks,shot,,,,,,,,,,Carter,,,,missed,,Jump Shot,,,20-20,4,
,,,,,,,,,,2,11.35,Dallas Mavericks,rebound,,,,,,,,,,Mahinmi,,,,,,,,,20-20,,
,,,,,,,,,,2,11.35,Dallas Mavericks,shot,,,,,,,,,,Mahinmi,2,,,made,,Slam Dunk,,,20-22,1,
,,,,,,,,,,2,11.19,Oklahoma City Thunder,shot,,,,,,,,,,Harden,,,,missed,,3PT Jump Shot,,,20-22,27,
,,,,,,,,,,2,11.18,Oklahoma City Thunder,rebound,,,,,,,,,,Collison,,,,,,,,,20-22,,
,,,,,,,,,,2,11.01,Dallas Mavericks,foul,,,,,,,,,,Terry,,,,,,Shooting,,,20-22,,
,,,,,,,,,,2,11.01,Oklahoma City Thunder,free throw,,,,,,,1,,2,Maynor,1,,foul,made,,,,,21-22,,
,,,,,,,,,,2,11.01,Oklahoma City Thunder,free throw,,,,,,,2,,2,Maynor,1,,foul,made,,,,,22-22,,
,,,,,,,,,,2,10.49,Oklahoma City Thunder,foul,,,,,,,,,,Collison,,,,,,Personal,,,22-22,,
,,,,,,,,,,2,10.44,Oklahoma City Thunder,foul,,,,,,,,,,Harden,,,,,,Shooting,,,22-22,,
,,,,,,,,,,2,10.44,Dallas Mavericks,free throw,,,,,,,1,,2,Carter,1,,foul,made,,,,,22-23,,
,,,,,,,,,,2,10.44,Dallas Mavericks,free throw,,,,,,,2,,2,Carter,1,,foul,made,,,,,22-24,,
,,,,,,,,,,2,10.32,Oklahoma City Thunder,shot,,,,,,,,,,Harden,,,,missed,,3PT Jump Shot,,,22-24,25,
,,,,,,,,,,2,10.31,Dallas Mavericks,rebound,,,,,,,,,,Odom,,,,,,,,,22-24,,
,,,,,,,,,,2,10.21,Oklahoma City Thunder,foul,,,,,,,,,,Collison,,,,,,Shooting,,,22-24,,
,,,,,,,,,,2,10.21,Dallas Mavericks,free throw,,,,,,,1,,2,Carter,1,,foul,made,,,,,22-25,,
,,,,,,,,,,2,10.21,Oklahoma City Thunder,substitute,,,,Ibaka,,Collison,,,,,,,,,,,,,22-25,,
,,,,,,,,,,2,10.21,Dallas Mavericks,free throw,,,,,,,2,,2,Carter,1,,foul,made,,,,,22-26,,
,,,,,,,,,,2,9.59,Oklahoma City Thunder,shot,,,,,,,,,,Hayward,,,,missed,,Floating Jump Shot,,,22-26,9,
,,,,,,,,,,2,9.57,Dallas Mavericks,rebound,,,,,,,,,,Nowitzki,,,,,,,,,22-26,,
,,,,,,,,,,2,9.46,Dallas Mavericks,shot,Odom,,,,,,,,,Terry,3,,,made,,3PT Jump Shot,,,22-29,24,
,,,,,,,,,,2,9.38,Oklahoma City Thunder,timeout,,,,,,,,,,,,,,,,,,,22-29,,
,,,,,,,,,,2,9.30,Oklahoma City Thunder,turnover,,,,,,,,,,Harden,,,Bad Pass,,,,,,22-29,,
,,,,,,,,,,2,9.19,Oklahoma City Thunder,substitute,,,,Durant,,Hayward,,,,,,,,,,,,,22-29,,
,,,,,,,,,,2,9.09,Dallas Mavericks,shot,,,,,,,,,,Carter,,,,missed,,Driving Layup,,,22-29,2,
,,,,,,,,,,2,9.07,Dallas Mavericks,rebound,,,,,,,,,,Mahinmi,,,,,,,,,22-29,,
,,,,,,,,,,2,9.02,Dallas Mavericks,shot,,,,,,,,,,Carter,,,,missed,,Running Jump Shot,,,22-29,5,
,,,,,,,,,,2,9.01,Oklahoma City Thunder,rebound,,,,,,,,,,Ibaka,,,,,,,,,22-29,,
,,,,,,,,,,2,8.57,Oklahoma City Thunder,shot,,,,,,,,,,Maynor,2,,,made,,Jump Shot,,,24-29,11,
,,,,,,,,,,2,8.38,Dallas Mavericks,shot,Nowitzki,,,,,,,,,Mahinmi,2,,,made,,Layup,,,24-31,2,
,,,,,,,,,,2,8.15,Oklahoma City Thunder,shot,,,,,,,,,,Maynor,,,,missed,,3PT Jump Shot,,,24-31,26,
,,,,,,,,,,2,8.14,Oklahoma City Thunder,rebound,,,,,,,,,,Ibaka,,,,,,,,,24-31,,
,,,,,,,,,,2,8.11,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,2,,,made,,Putback Layup,,,26-31,3,
,,,,,,,,,,2,7.55,Dallas Mavericks,shot,,,,,,,,,,Terry,,,,missed,,Pullup Jump Shot,,,26-31,15,
,,,,,,,,,,2,7.54,Dallas Mavericks,rebound,,,,,,,,,,Nowitzki,,,,,,,,,26-31,,
,,,,,,,,,,2,7.54,Dallas Mavericks,shot,,,,,,,,,,Nowitzki,2,,,made,,Layup,,,26-33,1,
