quarter,time,eventtype,team,outof,numfreeshot,points,reason,result,type,score,shotdistance,x,url,y,asssist,awayjumpball,block,entered,homejumpball,left,opponent,player,steal
1,5:07.0,rebound,Washington Wizards,,,,,,Offensive,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=69,,,,,,,,,,
1,5:01.0,shot,Washington Wizards,,,2,,missed,Jump Shot,17-17,22,416,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=71,190,,,,,,,,Bradley Beal,
1,5:00.0,rebound,Cleveland Cavaliers,,,,,,Defensive,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=72,,,,,,,,,C.J. Miles,
1,4:52.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,17-17,17,97,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=73,121,,,,,,,,Kyrie Irving,
1,4:51.0,rebound,Washington Wizards,,,,,,Defensive,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=74,,,,,,,,,Trevor Ariza,
1,4:35.0,foul,Cleveland Cavaliers,,,,,,Personal,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=75,,,,,,,,,Tyler Zeller,
1,4:22.0,shot,Washington Wizards,,,2,,missed,Hook Shot,17-17,7,278,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=77,114,,,,,,,,Trevor Booker,
1,4:19.0,rebound,Washington Wizards,,,,,,Offensive,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=78,,,,,,,,,Emeka Okafor,
1,4:17.0,turnover,Washington Wizards,,,,Lost Ball,,,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=79,,,,,,,,,Emeka Okafor,Alonzo Gee
1,4:11.0,turnover,Cleveland Cavaliers,,,,3 Second Violation,,,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=80,,,,,,,,,Tristan Thompson,
1,3:48.0,turnover,Washington Wizards,,,,Lost Ball,,,17-17,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=81,,,,,,,,,A.J. Price,Tristan Thompson
1,3:41.0,shot,Cleveland Cavaliers,,,2,,made,Dunk,17-19,1,254,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=82,47,,,,,,,,Tristan Thompson,
