quarter,time,eventtype,team,outof,numfreeshot,points,reason,result,type,score,shotdistance,x,url,y,asssist,awayjumpball,block,entered,homejumpball,left,opponent,player,steal
3,3:43.0,shot,Cleveland Cavaliers,,,2,,missed,Layup,52-63,2,240,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=355,62,,,Jordan Crawford,,,,,Tyler Zeller,
3,3:41.0,rebound,Washington Wizards,,,,,,Defensive,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=356,,,,,,,,,Jordan Crawford,
3,3:31.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,52-63,26,314,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=357,299,,,,,,,,Jordan Crawford,
3,3:30.0,rebound,Washington Wizards,,,,,,Offensive,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=358,,,,,,,,,Earl Barron,
3,3:26.0,turnover,Washington Wizards,,,,Traveling,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=359,,,,,,,,,Jordan Crawford,
3,3:26.0,substitute,Washington Wizards,,,,,,,52-63,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=360,,,,,Martell Webster,,Trevor Ariza,,,
3,3:11.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,52-65,5,221,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=361,95,Alonzo Gee,,,,,,,Kyrie Irving,
3,3:11.0,foul,Washington Wizards,,,,,,Shooting,52-65,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=362,,,,,,,,,Jan Vesely,
3,3:11.0,free throw,Cleveland Cavaliers,1,1,,foul,missed,,52-65,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=363,,,,,,,,,Kyrie Irving,
3,3:10.0,rebound,Washington Wizards,,,,,,Defensive,52-65,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=365,,,,,,,,,Earl Barron,
3,3:04.0,shot,Washington Wizards,,,2,,made,Layup,54-65,,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=366,50,Jannero Pargo,,,,,,,Jordan Crawford,
3,2:58.0,foul,Washington Wizards,,,,,,Shooting,54-65,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=367,,,,,,,,,Jan Vesely,
3,2:58.0,free throw,Cleveland Cavaliers,2,1,1,foul,made,,54-66,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=368,,,,,,,,,Kyrie Irving,
3,2:58.0,substitute,Cleveland Cavaliers,,,,,,,54-66,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=370,,,,,Daniel Gibson,,Alonzo Gee,,,
3,2:58.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,54-67,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=371,,,,,,,,,Kyrie Irving,
3,2:41.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,54-67,25,84,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=373,239,,,,,,,,Martell Webster,
3,2:40.0,rebound,Cleveland Cavaliers,,,,,,Defensive,54-67,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=374,,,,,,,,,Anderson Varejao,
3,2:30.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Bank Shot,54-67,15,390,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=375,89,,,,,,,,Kyrie Irving,
3,2:28.0,rebound,Washington Wizards,,,,,,Defensive,54-67,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=376,,,,,,,,,Martell Webster,
3,2:19.0,shot,Washington Wizards,,,2,,made,Layup,56-67,,250,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=377,48,Jordan Crawford,,,,,,,Jan Vesely,
3,1:59.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,56-69,21,174,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=379,242,C.J. Miles,,,,,,,Tyler Zeller,
3,1:41.0,shot,Washington Wizards,,,2,,made,Jump Shot,58-69,16,90,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=380,50,Martell Webster,,,,,,,Earl Barron,
3,1:16.0,shot,Cleveland Cavaliers,,,2,,made,Dunk,58-71,1,254,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=381,47,Anderson Varejao,,,,,,,Tyler Zeller,
3,1:02.0,shot,Washington Wizards,,,2,,missed,Jump Shot,58-71,16,95,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=382,59,,,,,,,,Jannero Pargo,
3,1:00.0,rebound,Cleveland Cavaliers,,,,,,Defensive,58-71,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=383,,,,,,,,,,
3,1:00.0,substitute,Cleveland Cavaliers,,,,,,,58-71,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=384,,,,,Donald Sloan,,Kyrie Irving,,,
3,0:46.8,turnover,Cleveland Cavaliers,,,,3 Second Violation,,,58-71,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=386,,,,,,,,,Anderson Varejao,
3,0:35.9,shot,Washington Wizards,,,2,,made,Jump Shot,60-71,17,78,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=387,64,,,,,,,,Jordan Crawford,
3,0:25.8,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,60-74,26,385,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=388,267,Anderson Varejao,,,,,,,Daniel Gibson,
3,0:17.9,shot,Washington Wizards,,,2,,made,Jump Shot,62-74,20,432,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=390,136,Jannero Pargo,,,,,,,Earl Barron,
3,0:00.5,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,62-74,27,388,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=391,280,,,,,,,,C.J. Miles,
3,0:00.1,rebound,Cleveland Cavaliers,,,,,,Offensive,62-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=392,,,,,,,,,Anderson Varejao,
4,11:45.0,foul,Cleveland Cavaliers,,,,,,Shooting,62-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=396,,,,,,,,,Tyler Zeller,
4,11:45.0,free throw,Washington Wizards,2,1,1,foul,made,,63-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=397,,,,,,,,,Jordan Crawford,
4,11:45.0,substitute,Washington Wizards,,,,,,,63-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=399,,,,,Chris Singleton,,Jan Vesely,,,
4,11:45.0,free throw,Washington Wizards,2,2,,foul,missed,,63-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=400,,,,,,,,,Jordan Crawford,
4,11:43.0,rebound,Cleveland Cavaliers,,,,,,Defensive,63-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=402,,,,,,,,,C.J. Miles,
4,11:23.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,63-74,16,393,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=403,125,,,,,,,,Donald Sloan,
4,11:22.0,rebound,Washington Wizards,,,,,,Defensive,63-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=404,,,,,,,,,Earl Barron,
4,11:12.0,shot,Washington Wizards,,,2,,missed,Layup,63-74,1,243,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=405,51,,,Tyler Zeller,,,,,Chris Singleton,
4,11:09.0,rebound,Washington Wizards,,,,,,Offensive,63-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=407,,,,,,,,,Earl Barron,
4,11:09.0,shot,Washington Wizards,,,2,,made,Tip Shot,65-74,,251,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=406,50,,,,,,,,Earl Barron,
4,10:56.0,turnover,Cleveland Cavaliers,,,,Lost Ball,,,65-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=408,,,,,,,,,C.J. Miles,Martell Webster
4,10:51.0,shot,Washington Wizards,,,2,,made,Slam Dunk,67-74,1,245,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=409,53,Jordan Crawford,,,,,,,Martell Webster,
4,10:31.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,67-74,21,339,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=410,244,,,,,,,,Tyler Zeller,
4,10:30.0,rebound,Washington Wizards,,,,,,Defensive,67-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=411,,,,,,,,,Chris Singleton,
4,10:22.0,shot,Washington Wizards,,,2,,made,Jump Shot,69-74,19,68,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=412,110,,,,,,,,Jannero Pargo,
4,10:21.0,timeout,Cleveland Cavaliers,,,,,,full,69-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=413,,,,,,,,,,
4,10:09.0,turnover,Cleveland Cavaliers,,,,Bad Pass,,,69-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=417,,,,,,,,,Luke Walton,Jordan Crawford
4,10:06.0,foul,Cleveland Cavaliers,,,,,,Shooting,69-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=418,,,,,,,,,Daniel Gibson,
4,10:06.0,free throw,Washington Wizards,2,1,1,foul,made,,70-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=419,,,,,,,,,Jannero Pargo,
4,10:06.0,free throw,Washington Wizards,2,2,1,foul,made,,71-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=421,,,,,,,,,Jannero Pargo,
4,9:52.0,turnover,Cleveland Cavaliers,,,,Traveling,,,71-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=423,,,,,,,,,C.J. Miles,
4,9:40.0,shot,Washington Wizards,,,2,,missed,Jump Shot,71-74,14,117,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=424,103,,,Daniel Gibson,,,,,Jordan Crawford,
4,9:38.0,rebound,Cleveland Cavaliers,,,,,,Defensive,71-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=425,,,,,,,,,,
4,9:38.0,substitute,Cleveland Cavaliers,,,,,,,71-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=426,,,,,Alonzo Gee,,C.J. Miles,,,
4,9:38.0,substitute,Cleveland Cavaliers,,,,,,,71-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=427,,,,,Anderson Varejao,,Tyler Zeller,,,
4,9:19.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,71-74,23,484,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=428,62,,,,,,,,Donald Sloan,
4,9:18.0,rebound,Washington Wizards,,,,,,Defensive,71-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=429,,,,,,,,,Earl Barron,
4,9:05.0,shot,Washington Wizards,,,2,,made,Jump Shot,73-74,22,301,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=430,264,Jordan Crawford,,,,,,,Chris Singleton,
4,8:45.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,73-74,23,476,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=431,102,,,,,,,,Daniel Gibson,
4,8:44.0,rebound,Washington Wizards,,,,,,Defensive,73-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=432,,,,,,,,,Chris Singleton,
4,8:31.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,73-74,25,489,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=433,108,,,,,,,,Jannero Pargo,
4,8:29.0,rebound,Cleveland Cavaliers,,,,,,Defensive,73-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=434,,,,,,,,,Daniel Gibson,
4,8:21.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,73-74,24,18,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=435,100,,,,,,,,Alonzo Gee,
4,8:20.0,rebound,Washington Wizards,,,,,,Defensive,73-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=436,,,,,,,,,Martell Webster,
4,8:12.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,76-74,24,13,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=437,56,Chris Singleton,,,,,,,Jannero Pargo,
4,7:52.0,foul,Cleveland Cavaliers,,,,,,Offensive,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=438,,,,,,,,,,
4,7:52.0,turnover,Cleveland Cavaliers,,,,Foul,,,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=439,,,,,,,,,Alonzo Gee,
4,7:52.0,substitute,Cleveland Cavaliers,,,,,,,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=440,,,,,Kyrie Irving,,Donald Sloan,,,
4,7:34.0,turnover,Washington Wizards,,,,Bad Pass,,,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=441,,,,,,,,,Jannero Pargo,
4,7:34.0,substitute,Cleveland Cavaliers,,,,,,,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=442,,,,,Dion Waiters,,Daniel Gibson,,,
4,7:34.0,substitute,Cleveland Cavaliers,,,,,,,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=443,,,,,Tristan Thompson,,Luke Walton,,,
4,7:18.0,foul,Washington Wizards,,,,,,Personal,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=444,,,,,,,,,Jannero Pargo,
4,7:14.0,shot,Cleveland Cavaliers,,,2,,missed,Finger Roll Layup,76-74,2,271,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=445,59,,,,,,,,Anderson Varejao,
4,7:13.0,rebound,Cleveland Cavaliers,,,,,,Offensive,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=446,,,,,,,,,Tristan Thompson,
4,7:12.0,foul,Washington Wizards,,,,,,Personal,76-74,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=447,,,,,,,,,Earl Barron,
4,7:00.0,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,76-77,25,426,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=448,225,Alonzo Gee,,,,,,,Dion Waiters,
4,7:00.0,foul,Washington Wizards,,,,,,Loose ball,76-77,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=451,,,,,,,,,Jannero Pargo,
4,7:00.0,free throw,Cleveland Cavaliers,1,1,1,foul,made,,76-78,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=452,,,,,,,,,Anderson Varejao,
4,6:35.0,shot,Washington Wizards,,,2,,made,Step Back Jump Shot,78-78,10,150,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=455,73,,,,,,,,Jordan Crawford,
4,6:12.0,shot,Cleveland Cavaliers,,,2,,missed,Jump Shot,78-78,14,109,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=457,76,,,Earl Barron,,,,,Alonzo Gee,
4,6:10.0,rebound,Washington Wizards,,,,,,Defensive,78-78,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=458,,,,,,,,,Jannero Pargo,
4,6:03.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,78-78,24,10,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=459,54,,,,,,,,Jordan Crawford,
4,6:02.0,rebound,Cleveland Cavaliers,,,,,,Defensive,78-78,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=460,,,,,,,,,Kyrie Irving,
4,5:54.0,shot,Cleveland Cavaliers,,,2,,made,Driving Layup,78-80,1,254,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=461,36,,,,,,,,Kyrie Irving,
4,5:51.0,timeout,Washington Wizards,,,,,,full,78-80,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=462,,,,,,,,,,
4,5:51.0,substitute,Washington Wizards,,,,,,,78-80,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=465,,,,,A.J. Price,,Jannero Pargo,,,
4,5:31.0,shot,Washington Wizards,,,2,,made,Finger Roll Layup,80-80,,254,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=466,50,,,,,,,,Martell Webster,
4,5:10.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,80-80,27,144,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=467,294,,,,,,,,Kyrie Irving,
4,5:09.0,rebound,Washington Wizards,,,,,,Defensive,80-80,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=468,,,,,,,,,Earl Barron,
4,5:00.0,shot,Washington Wizards,,,2,,missed,Running Jump Shot,80-80,8,213,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=469,121,,,,,,,,A.J. Price,
4,4:57.0,rebound,Cleveland Cavaliers,,,,,,Defensive,80-80,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=470,,,,,,,,,Kyrie Irving,
4,4:50.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,80-80,25,413,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=471,237,,,,,,,,Dion Waiters,
4,4:48.0,rebound,Cleveland Cavaliers,,,,,,Offensive,80-80,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=473,,,,,,,,,Alonzo Gee,
4,4:48.0,shot,Cleveland Cavaliers,,,2,,made,Tip Shot,80-82,1,252,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=472,57,,,,,,,,Alonzo Gee,
4,4:30.0,shot,Washington Wizards,,,2,,missed,Jump Shot,80-82,15,402,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=474,76,,,,,,,,Chris Singleton,
4,4:30.0,rebound,Washington Wizards,,,,,,Offensive,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=475,,,,,,,,,Jordan Crawford,
4,4:27.0,shot,Washington Wizards,,,2,,missed,Layup,80-82,1,246,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=476,44,,,,,,,,Jordan Crawford,
4,4:24.0,rebound,Cleveland Cavaliers,,,,,,Defensive,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=477,,,,,,,,,Anderson Varejao,
4,4:20.0,foul,Cleveland Cavaliers,,,,,,Offensive,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=478,,,,,,,,,,
4,4:20.0,turnover,Cleveland Cavaliers,,,,Foul,,,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=479,,,,,,,,,Kyrie Irving,
4,4:20.0,substitute,Washington Wizards,,,,,,,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=480,,,,,Bradley Beal,,Jordan Crawford,,,
4,3:58.0,shot,Washington Wizards,,,2,,missed,Jump Shot,80-82,19,265,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=481,244,,,,,,,,A.J. Price,
4,3:57.0,rebound,Washington Wizards,,,,,,Offensive,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=482,,,,,,,,,Earl Barron,
4,3:56.0,shot,Washington Wizards,,,2,,missed,Jump Shot,80-82,20,125,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=483,206,,,,,,,,A.J. Price,
4,3:56.0,rebound,Washington Wizards,,,,,,Offensive,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=484,,,,,,,,,,
4,3:56.0,turnover,Washington Wizards,,,,Shot Clock,,,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=485,,,,,,,,,,
4,3:38.0,foul,Washington Wizards,,,,,,Shooting,80-82,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=487,,,,,,,,,Chris Singleton,
4,3:38.0,free throw,Cleveland Cavaliers,2,1,1,foul,made,,80-83,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=488,,,,,,,,,Anderson Varejao,
4,3:38.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=490,,,,,,,,,Anderson Varejao,
4,3:29.0,foul,Cleveland Cavaliers,,,,,,Personal,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=492,,,,,,,,,Alonzo Gee,
4,3:21.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,80-84,25,97,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=493,247,,,,,,,,A.J. Price,
4,3:19.0,rebound,Cleveland Cavaliers,,,,,,Defensive,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=494,,,,,,,,,Tristan Thompson,
4,3:17.0,turnover,Cleveland Cavaliers,,,,Lost Ball,,,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=495,,,,,,,,,Tristan Thompson,Chris Singleton
4,3:07.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,80-84,25,54,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=496,207,,,,,,,,A.J. Price,
4,3:06.0,rebound,Cleveland Cavaliers,,,,,,Defensive,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=497,,,,,,,,,Dion Waiters,
4,3:05.0,turnover,Cleveland Cavaliers,,,,Lost Ball,,,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=499,,,,,,,,,Dion Waiters,Earl Barron
4,3:05.0,jumpball,Cleveland Cavaliers,,,,,,,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=498,,,Earl Barron,,,Dion Waiters,,,,
4,2:51.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,80-84,25,26,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=500,155,,,,,,,,Bradley Beal,
4,2:50.0,rebound,Cleveland Cavaliers,,,,,,Defensive,80-84,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=501,,,,,,,,,Kyrie Irving,
4,2:34.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,80-86,21,131,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=502,220,,,,,,,,Kyrie Irving,
4,2:15.0,shot,Washington Wizards,,,2,,made,Reverse Layup,82-86,1,240,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=503,50,Chris Singleton,,,,,,,Earl Barron,
4,2:15.0,foul,Cleveland Cavaliers,,,,,,Shooting,82-86,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=504,,,,,,,,,Tristan Thompson,
4,2:15.0,substitute,Washington Wizards,,,,,,,82-86,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=507,,,,,Jordan Crawford,,A.J. Price,,,
4,2:15.0,substitute,Washington Wizards,,,,,,,82-86,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=508,,,,,Trevor Ariza,,Martell Webster,,,
4,2:15.0,free throw,Washington Wizards,1,1,,foul,missed,,82-86,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=510,,,,,,,,,Earl Barron,
4,2:14.0,rebound,Cleveland Cavaliers,,,,,,Defensive,82-86,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=512,,,,,,,,,Alonzo Gee,
4,2:00.0,shot,Cleveland Cavaliers,,,2,,made,Dunk,82-88,1,245,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=513,36,Anderson Varejao,,,,,,,Tristan Thompson,
4,1:49.0,foul,Cleveland Cavaliers,,,,,,Shooting,82-88,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=514,,,,,,,,,Anderson Varejao,
4,1:49.0,free throw,Washington Wizards,2,1,1,foul,made,,83-88,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=515,,,,,,,,,Jordan Crawford,
4,1:49.0,free throw,Washington Wizards,2,2,1,foul,made,,84-88,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=517,,,,,,,,,Jordan Crawford,
4,1:28.0,shot,Cleveland Cavaliers,,,2,,made,Dunk,84-90,1,248,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=519,45,Anderson Varejao,,,,,,,Tristan Thompson,
4,1:17.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,84-90,26,360,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=520,283,,,,,,,,Chris Singleton,
4,1:15.0,rebound,Washington Wizards,,,,,,Offensive,84-90,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=521,,,,,,,,,Chris Singleton,
4,1:04.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,84-90,26,120,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=522,280,,,,,,,,Jordan Crawford,
4,1:03.0,rebound,Cleveland Cavaliers,,,,,,Defensive,84-90,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=523,,,,,,,,,Kyrie Irving,
4,0:50.5,shot,Cleveland Cavaliers,,,2,,made,Dunk,84-92,1,257,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=525,44,Kyrie Irving,,,,,,,Tristan Thompson,
4,0:50.5,timeout,Washington Wizards,,,,,,full,84-92,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=526,,,,,,,,,,
4,0:41.9,shot,Washington Wizards,,,2,,missed,Jump Bank Shot,84-92,9,164,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=530,78,,,,,,,,Earl Barron,
4,0:40.6,rebound,Washington Wizards,,,,,,Offensive,84-92,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=532,,,,,,,,,Earl Barron,
4,0:40.6,shot,Washington Wizards,,,2,,missed,Tip Shot,84-92,2,263,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=531,42,,,,,,,,Earl Barron,
4,0:39.5,rebound,Cleveland Cavaliers,,,,,,Defensive,84-92,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=533,,,,,,,,,Tristan Thompson,
4,0:39.0,foul,Washington Wizards,,,,,,Personal,84-92,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=534,,,,,,,,,Earl Barron,
4,0:39.0,free throw,Cleveland Cavaliers,2,1,,foul,missed,,84-92,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=535,,,,,,,,,Tristan Thompson,
4,0:39.0,free throw,Cleveland Cavaliers,2,2,1,foul,made,,84-93,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=537,,,,,,,,,Tristan Thompson,
4,0:29.9,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,84-93,25,90,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=540,244,,,,,,,,Bradley Beal,
4,0:28.9,rebound,Cleveland Cavaliers,,,,,,Defensive,84-93,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=541,,,,,,,,,Anderson Varejao,
4,0:18.1,foul,Washington Wizards,,,,,,Shooting,84-93,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=542,,,,,,,,,Beal,
4,0:18.1,free throw,Cleveland Cavaliers,2,1,,foul,missed,,84-93,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=543,,,,,,,,,Dion Waiters,
