" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","7","52.0","shot","Cleveland Cavaliers","","","2","","made","layup","8-13","1","251","37","","","","","","","","","","","","","","","Alonzo","Gee","","","1","7","52","shot","Cleveland Cavaliers","","","2","","made","Layup","8-13","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=41","","","","","","","","Gee","","84"
"1","7","34.0","shot","Washington Wizards","","","3","","made","jumper","11-13","24","492","78","A.J.","Price","","","","","","","","","","","","","Bradley","Beal","","","1","7","34","shot","Washington Wizards","","","3","","made","3PT Jump Shot","11-13","24","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=43","Price","","","","","","","Beal","","84"
"1","7","18.0","turnover","Cleveland Cavaliers","","","","bad pass","","","11-13","","","","","","","","","","","","","","","","","","Alonzo","Gee","Trevor","Ariza","1","7","18","turnover","Cleveland Cavaliers","","","","Bad Pass","","","11-13","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=44","","","","","","","","Gee","Ariza","82"
"1","7","08.0","shot","Washington Wizards","","","2","","missed","jumper","11-13","19","439","42","","","","","","","","","","","","","","","Trevor","Ariza","","","1","7","08","shot","Washington Wizards","","","","","missed","Jump Shot","11-13","19","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=45","","","","","","","","Ariza","","80"
"1","7","07.0","rebound","Cleveland Cavaliers","","","","","","Defensive","11-13","","","","","","","","","","","","","","","","","","Tristan","Thompson","","","1","7","07","rebound","Cleveland Cavaliers","","","","","","","11-13","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=46","","","","","","","","Thompson","","80"
"1","6","58.0","shot","Cleveland Cavaliers","","","2","","missed","jumper","11-13","15","401","73","","","","","Trevor","Ariza","","","","","","","","","Kyrie","Irving","","","1","6","58","shot","Cleveland Cavaliers","","","","","missed","Jump Shot","11-13","15","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=47","","","Ariza","","","","","Irving","","82"
"1","6","55.0","rebound","Cleveland Cavaliers","","","","","","Offensive","11-13","","","","","","","","","","","","","","","","","","Anderson","Varejao","","","1","6","55","rebound","Cleveland Cavaliers","","","","","","","11-13","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=48","","","","","","","","Varejao","","80"
"1","6","54.0","shot","Cleveland Cavaliers","","","2","","made","layup","11-15","1","252","37","Anderson","Varejao","","","","","","","","","","","","","Kyrie","Irving","","","1","6","54","shot","Cleveland Cavaliers","","","2","","made","Layup","11-15","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=49","Varejao","","","","","","","Irving","","86"
"1","6","40.0","shot","Washington Wizards","","","2","","missed","jumper","11-15","4","221","70","","","","","Anderson","Varejao","","","","","","","","","A.J.","Price","","","1","6","40","shot","Washington Wizards","","","","","missed","Jump Shot","11-15","4","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=50","","","Varejao","","","","","Price","","82"
"1","6","37.0","rebound","Cleveland Cavaliers","","","","","","Defensive","11-15","","","","","","","","","","","","","","","","","","Tristan","Thompson","","","1","6","37","rebound","Cleveland Cavaliers","","","","","","","11-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=51","","","","","","","","Thompson","","80"
"1","6","31.0","shot","Cleveland Cavaliers","","","2","","missed","layup","11-15","","252","53","","","","","","","","","","","","","","","Dion","Waiters","","","1","6","31","shot","Cleveland Cavaliers","","","","","missed","Layup","11-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=52","","","","","","","","Waiters","","80"
"1","6","29.0","rebound","Cleveland Cavaliers","","","","","","Offensive","11-15","","","","","","","","","","","","","","","","","","Tristan","Thompson","","","1","6","29","rebound","Cleveland Cavaliers","","","","","","","11-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=54","","","","","","","","Thompson","","80"
"1","6","29.0","shot","Cleveland Cavaliers","","","2","","missed","","11-15","1","259","48","","","","","","","","","","","","","","","Tristan","Thompson","","","1","6","29","shot","Cleveland Cavaliers","","","","","missed","Tip Shot","11-15","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=53","","","","","","","","Thompson","","80"
"1","6","25.0","rebound","Washington Wizards","","","","","","Defensive","11-15","","","","","","","","","","","","","","","","","","Bradley","Beal","","","1","6","25","rebound","Washington Wizards","","","","","","","11-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=55","","","","","","","","Beal","","80"
"1","6","21.0","shot","Washington Wizards","","","3","","made","jumper","14-15","24","484","106","Bradley","Beal","","","","","","","","","","","","","A.J.","Price","","","1","6","21","shot","Washington Wizards","","","3","","made","3PT Jump Shot","14-15","24","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=56","Beal","","","","","","","Price","","84"
