"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=142,2,,Washington Wizards,Singleton OFF.Foul (P1),9:43
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=143,2,,Washington Wizards,Singleton Foul Turnover (P1.T6),9:43
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=144,2,,Washington Wizards,Crawford S.FOUL (P1.T3),9:33
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=145,2,,Cleveland Cavaliers,MISS Gibson Free Throw 1 of 2,9:33
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=146,2,,Cleveland Cavaliers,CAVALIERS Rebound,9:33
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=147,2,,Cleveland Cavaliers,SUB: Varejao FOR Zeller,9:33
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=148,2,[ 26 - 36 ],Cleveland Cavaliers,Gibson Free Throw 2 of 2 (7 PTS),9:33
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=150,2,,Cleveland Cavaliers,Gibson S.FOUL (P1.T1),9:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=151,2,,Washington Wizards,MISS Vesely Free Throw 1 of 2,9:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=152,2,,Washington Wizards,Wizards Rebound,9:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=153,2,,Washington Wizards,MISS Vesely Free Throw 2 of 2,9:19
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=155,2,,Cleveland Cavaliers,Varejao REBOUND (Off:4 Def:2),9:17
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=156,2,,Cleveland Cavaliers,MISS Miles 16' Jump Shot,8:59
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=157,2,,Cleveland Cavaliers,Varejao REBOUND (Off:5 Def:2),8:58
http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=158,2,,Cleveland Cavaliers,Walton Traveling Turnover (P1.T5),8:53
