"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=90,1,,Dallas Mavericks,Nowitzki L.B.FOUL (P1.T4),4:20
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=91,1,[ 12 - 21 ],Washington Wizards,Seraphin 16' Jump Shot (2 PTS) (Beal 2 AST),4:12
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=92,1,[ 15 - 21 ],Dallas Mavericks,Mayo 24' 3PT Jump Shot (3 PTS) (Collison 1 AST),3:50
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=93,1,,Washington Wizards,MISS Webster 25' 3PT Jump Shot,3:36
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=94,1,,Dallas Mavericks,Nowitzki REBOUND (Off:0 Def:1),3:35
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=95,1,,Washington Wizards,Temple P.FOUL (P2.T3),3:35
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=96,1,,Washington Wizards,SUB: Mack FOR Temple,3:35
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=97,1,,Dallas Mavericks,MISS Brand 13' Jump Shot,3:20
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=98,1,,Washington Wizards,Seraphin REBOUND (Off:0 Def:1),3:19
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=99,1,,Washington Wizards,MISS Beal 16' Jump Shot,3:10
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=100,1,,Dallas Mavericks,Brand REBOUND (Off:0 Def:1),3:09
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=101,1,[ 18 - 21 ],Dallas Mavericks,Mayo 25' 3PT Jump Shot (6 PTS) (Collison 2 AST),3:01
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=102,1,,Washington Wizards,WIZARDS Timeout: Regular (Full 1 Short 0),2:53
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=104,1,,Washington Wizards,SUB: Crawford FOR Webster,2:53
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=105,1,,Washington Wizards,Beal Bad Pass Turnover (P1.T2),2:43
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=106,1,,Washington Wizards,Vesely P.FOUL (P1.T4),2:32
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=107,1,,Washington Wizards,Seraphin BLOCK (1 BLK),2:24
