" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","5","34.0","shot","Chicago Bulls","","","2","","missed","jumper","13-14","12","150","122","","","","","Tyreke","Evans","","","","","","","","","Richard","Hamilton","","","1","5","34","shot","Chicago Bulls","","","","","missed","Jump Shot","13-14","12","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=49","","","Evans","","","","","Hamilton","","82"
"1","5","32.0","rebound","Sacramento Kings","","","","","","Defensive","13-14","","","","","","","","","","","","","","","","","","Jason","Thompson","","","1","5","32","rebound","Sacramento Kings","","","","","","","13-14","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=50","","","","","","","","Thompson","","80"
"1","5","23.0","turnover","Sacramento Kings","","","","lost ball","","","13-14","","","","","","","","","","","","","","","","","","DeMarcus","Cousins","Joakim","Noah","1","5","23","turnover","Sacramento Kings","","","","Lost Ball","","","13-14","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=51","","","","","","","","Cousins","Noah","82"
"1","5","19.0","foul","Chicago Bulls","","","","","","Personal","13-14","","","","","","","","","","","","","","","","Luol","Deng","James","Johnson","","","1","5","19","foul","Sacramento Kings","","","","","","Personal","13-14","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=52","","","","","","","","Johnson","","73"
"1","5","19.0","timeout","Chicago Bulls","","","","","","full","13-14","","","","","","","","","","","","","","","","","","","","","","1","5","19","timeout","Chicago Bulls","","","","","","","13-14","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=54","","","","","","","","","","78"
"1","5","11.0","shot","Chicago Bulls","","","2","","made","shot","13-16","13","120","56","Kirk","Hinrich","","","","","","","","","","","","","Carlos","Boozer","","","1","5","11","shot","Chicago Bulls","","","2","","made","Turnaround Jump Shot","13-16","13","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=55","Hinrich","","","","","","","Boozer","","84"
"1","5","02.0","foul","Sacramento Kings","","","","","","Offensive","13-16","","","","","","","","","","","","","","","","Kirk","Hinrich","Isaiah","Thomas","","","1","5","02","foul","Sacramento Kings","","","","","","","13-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=56","","","","","","","","","","78"
"1","5","02.0","turnover","Sacramento Kings","","","","offensive foul","","","13-16","","","","","","","","","","","","","","","","","","Isaiah","Thomas","","","1","5","02","turnover","Sacramento Kings","","","","Foul","","","13-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=57","","","","","","","","Thomas","","80"
"1","4","48.0","turnover","Chicago Bulls","","","","bad pass","","","13-16","","","","","","","","","","","","","","","","","","Carlos","Boozer","DeMarcus","Cousins","1","4","48","turnover","Chicago Bulls","","","","Bad Pass","","","13-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=58","","","","","","","","Boozer","Cousins","82"
"1","4","45.0","foul","Sacramento Kings","","","","","","Shooting","13-16","","","","","","","","","","","","","","","","Tyreke","Evans","Joakim","Noah","","","1","4","45","foul","Chicago Bulls","","","","","","Shooting","13-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=59","","","","","","","","Noah","","73"
