" quarter@NBA"," quarter@br"," time@br"," time@NBA"," team@br"," team@NBA"," eventtype@br"," eventtype@NBA"," block@br"," block@NBA"," left@br"," numfreeshot@br"," numfreeshot@NBA"," opponent@br"," opponent@NBA"," outof@br"," outof@NBA"," points@br"," points@NBA"," possession@br"," possession@NBA"," reason@br"," reason@NBA"," result@br"," result@NBA"," steal@br"," steal@NBA"," type@br"," type@NBA"," x@br"," x@NBA"," y@br"," y@NBA"," score@br"," score@NBA"," shotdistance@br"," shotdistance @NBA","assist_first@br","assist_last@br"," assist@NBA","awayjumpball_first@br","awayjumpball_last@br"," awayjumpball@NBA","homejumpball_first@br","homejumpball_last@br"," homejumpball@NBA","entered_first@br","entered_last@br"," entered@NBA","left_0@br","left_1@br"," left@NBA","player_first@br","player_last@br"," player@NBA","Confidence"
"1","1","3.17","3.17","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","12-12","12-12","","","","","","","","","","","","","","","","","","Ian","Mahinmi","Mahinmi","94"
"1","1","3.09","3.09","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","334","","210","","12-12","12-12","18","18","","","","","","","","","","","","","","","","Lamar","Odom","Odom","94"
"1","1","3.08","3.08","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Offensive","","","","","","12-12","12-12","","","","","","","","","","","","","","","","","","Ian","Mahinmi","Mahinmi","94"
"1","1","2.58","2.58","Dallas Mavericks","Oklahoma City Thunder","foul","foul","","","","","","Jason Terry","","","","","","","","","","","","","","Personal","Personal","","","","","12-12","12-12","","","","","","","","","","","","","","","","","","James","Harden","Harden","86"
"1","1","2.58","2.58","Dallas Mavericks","Oklahoma City Thunder","timeout","timeout","","","","","","","","","","","","","","","","","","","","full","","","","","","12-12","12-12","","","","","","","","","","","","","","","","","","","","","86"
"1","1","2.58","2.58","Oklahoma City Thunder","Oklahoma City Thunder","substitute","substitute","","","Russell Westbrook","","","","","","","","","","","","","","","","","","","","","","","12-12","12-12","","","","","","","","","","","","Eric","Maynor","Maynor","Russell","Westbrook","Westbrook","","","","94"
"1","1","2.50","2.50","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Pullup Jump Shot","93","","169","","12-14","12-14","20","20","Jason","Kidd","Kidd","","","","","","","","","","","","","Vince","Carter","Carter","97"
"1","1","2.33","2.33","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","Vince Carter","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","330","","182","","12-14","12-14","15","15","","","","","","","","","","","","","","","","Kevin","Durant","Durant","94"
"1","1","2.30","2.30","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","12-14","12-14","","","","","","","","","","","","","","","","","","Vince","Carter","Carter","94"
"1","1","2.23","2.23","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Driving Layup","270","","50","","12-16","12-16","2","2","","","","","","","","","","","","","","","","Vince","Carter","Carter","97"
"1","1","2.08","2.08","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Jump Shot","382","","84","","12-16","12-16","14","14","","","","","","","","","","","","","","","","Kevin","Durant","Durant","94"
"1","1","2.07","2.07","Dallas Mavericks","Dallas Mavericks","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","12-16","12-16","","","","","","","","","","","","","","","","","","Ian","Mahinmi","Mahinmi","94"
"1","1","1.53","1.53","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Pullup Jump Shot","117","","158","","12-16","12-16","17","17","","","","","","","","","","","","","","","","Jason","Terry","Terry","94"
"1","1","1.50","1.50","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","12-16","12-16","","","","","","","","","","","","","","","","","","Nick","Collison","Collison","94"
"1","1","1.45","1.45","Oklahoma City Thunder","Dallas Mavericks","foul","foul","","","","","","James Harden","","","","","","","","","","","","","","Shooting","Shooting","","","","","12-16","12-16","","","","","","","","","","","","","","","","","","Lamar","Odom","Odom","86"
"1","1","1.45","1.45","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","1","1","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","13-16","13-16","","","","","","","","","","","","","","","","","","James","Harden","Harden","97"
"1","1","1.45","1.45","Dallas Mavericks","Dallas Mavericks","substitute","substitute","","","Jason Kidd","","","","","","","","","","","","","","","","","","","","","","","13-16","13-16","","","","","","","","","","","","Dirk","Nowitzki","Nowitzki","Jason","Kidd","Kidd","","","","94"
"1","1","1.45","1.45","Oklahoma City Thunder","Oklahoma City Thunder","free throw","free throw","","","","2","2","","","2","2","","1","","","foul","foul","made","made","","","","","","","","","14-16","14-16","","","","","","","","","","","","","","","","","","James","Harden","Harden","97"
"1","1","1.31","1.31","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Turnaround Hook Shot","304","","94","","14-18","14-18","7","7","","","","","","","","","","","","","","","","Lamar","Odom","Odom","97"
"1","1","1.15","1.15","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Slam Dunk","259","","50","","16-18","16-18","1","1","Nick","Collison","Collison","","","","","","","","","","","","","Serge","Ibaka","Ibaka","97"
"1","1","0.59","0.59","Dallas Mavericks","Dallas Mavericks","shot","shot","Serge Ibaka","","","","","","","","","2","","","","","","missed","missed","","","jump-shot","Layup","262","","53","","16-18","16-18","1","1","","","","","","","","","","","","","","","","Ian","Mahinmi","Mahinmi","94"
"1","1","0.57","0.57","Oklahoma City Thunder","Oklahoma City Thunder","rebound","rebound","","","","","","","","","","","","","","","","","","","","Defensive","","","","","","16-18","16-18","","","","","","","","","","","","","","","","","","James","Harden","Harden","94"
"1","1","0.52","0.52","Oklahoma City Thunder","Oklahoma City Thunder","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Driving Layup","260","","50","","18-18","18-18","1","1","","","","","","","","","","","","","","","","James","Harden","Harden","97"
"1","1","0.39","0.39","Dallas Mavericks","Dallas Mavericks","shot","shot","","","","","","","","","","2","2","","","","","made","made","","","jump-shot","Floating Jump Shot","278","","95","","18-20","18-20","5","5","","","","","","","","","","","","","","","","Jason","Terry","Terry","97"
"1","1","0.24","0.24","Oklahoma City Thunder","Dallas Mavericks","foul","foul","","","","","","Serge Ibaka","","","","","","","","","","","","","","Shooting","Shooting","","","","","18-20","18-20","","","","","","","","","","","","","","","","","","Ian","Mahinmi","Mahinmi","86"
