" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","2","45.0","foul","Miami Heat","","","","","","Shooting","21-22","","","","","","","","","","","","","","","","Dwyane","Wade","Courtney","Lee","","","1","2","45","foul","Boston Celtics","","","","","","Shooting","21-22","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=73","","","","","","","","Lee","","73"
"1","2","45.0","timeout","Miami Heat","","","","","","full","21-22","","","","","","","","","","","","","","","","","","","","","","1","2","45","timeout","Boston Celtics","","","","","","","21-22","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=74","","","","","","","","","","69"
"1","2","45.0","substitute","Boston Celtics","","","","","","","21-22","","","","","","","","","","Jason","Terry","","","Brandon","Bass","","","","","","","1","2","45","substitute","Boston Celtics","","","","","","","21-22","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=76","","","","Terry","","Bass","","","","82"
"1","2","45.0","substitute","Boston Celtics","","","","","","","21-22","","","","","","","","","","Jeff","Green","","","Courtney","Lee","","","","","","","1","2","45","substitute","Boston Celtics","","","","","","","21-22","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=77","","","","Green","","Lee","","","","82"
"1","2","45.0","substitute","Miami Heat","","","","","","","21-22","","","","","","","","","","Ray","Allen","","","Chris","Bosh","","","","","","","1","2","45","substitute","Miami Heat","","","","","","","21-22","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=78","","","","Allen","","Bosh","","","","82"
"1","2","45.0","substitute","Miami Heat","","","","","","","21-22","","","","","","","","","","Udonis","Haslem","","","Mario","Chalmers","","","","","","","1","2","45","substitute","Miami Heat","","","","","","","21-22","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=79","","","","Haslem","","Chalmers","","","","82"
"1","2","45.0","free throw","Miami Heat","2","1","","foul","made","","21-23","","","","","","","","","","","","","","","","","","Dwyane","Wade","","","1","2","45","free throw","Miami Heat","2","1","1","foul","made","","21-23","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=80","","","","","","","","Wade","","80"
"1","2","45.0","free throw","Miami Heat","2","2","","foul","made","","21-24","","","","","","","","","","","","","","","","","","Dwyane","Wade","","","1","2","45","free throw","Miami Heat","2","2","1","foul","made","","21-24","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=82","","","","","","","","Wade","","80"
"1","2","34.0","shot","Boston Celtics","","","3","","missed","jumper","21-24","26","410","253","","","","","","","","","","","","","","","Paul","Pierce","","","1","2","34","shot","Boston Celtics","","","","","missed","3PT Jump Shot","21-24","26","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=84","","","","","","","","Pierce","","80"
"1","2","33.0","rebound","Miami Heat","","","","","","Defensive","21-24","","","","","","","","","","","","","","","","","","LeBron","James","","","1","2","33","rebound","Miami Heat","","","","","","","21-24","","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=85","","","","","","","","James","","80"
"1","2","20.0","shot","Miami Heat","","","2","","missed","jumper","21-24","15","188","184","","","","","","","","","","","","","","","Udonis","Haslem","","","1","2","20","shot","Miami Heat","","","","","missed","Jump Shot","21-24","15","http://stats.nba.com/cvp.html?GameID=0021200002&GameEventID=86","","","","","","","","Haslem","","80"
