a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,8:13.0,Dallas Mavericks,free throw,,,,,,, 2,,2,Dirk Nowitzki,,,foul,made,,,,,4-6,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:56.0,Oklahoma City Thunder,turnover,,,,,,,,,,Kendrick Perkins,,,lost ball,,Delonte West,,,,4-6,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:46.0,Dallas Mavericks,shot,,,,,,,,,,Shawn Marion,3,,,missed,,jump-shot,461,176,4-6,25
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:45.0,Oklahoma City Thunder,rebound,,,,,,,,,,Serge Ibaka,,,,,,Defensive,,,4-6,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:33.0,Oklahoma City Thunder,shot,,,,,,,,,,Kevin Durant,2,,,missed,,jump-shot,168,185,4-6,16
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:32.0,Dallas Mavericks,rebound,,,,,,,,,,Brendan Haywood,,,,,,Defensive,,,4-6,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:28.0,Dallas Mavericks,shot,,,,,,,,,,Shawn Marion,2,,,missed,,jump-shot,259,57,4-6,1
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:27.0,Oklahoma City Thunder,rebound,,,,,,,,,,Russell Westbrook,,,,,,Defensive,,,4-6,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,7:19.0,Oklahoma City Thunder,shot,,,,,,,,,,Russell Westbrook,2,,,made,,jump-shot,235,53,6-6,2
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:59.0,Dallas Mavericks,shot,Jason Kidd,,,,,,,,,Shawn Marion,2,,,made,,jump-shot,242,50,6-8,1
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:39.0,Oklahoma City Thunder,foul,,,,,,,,Kevin Durant,,Shawn Marion,,,,,,Shooting,,,6-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:39.0,Oklahoma City Thunder,free throw,,,,,,, 1,,2,Kevin Durant,,,foul,missed,,,,,6-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:39.0,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,Offensive,,,6-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:39.0,Oklahoma City Thunder,free throw,,,,,,, 2,,2,Kevin Durant,,,foul,made,,,,,7-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:26.0,Dallas Mavericks,turnover,,,,,,,,,,Dirk Nowitzki,,,bad pass,,Russell Westbrook,,,,7-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:18.0,Oklahoma City Thunder,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,layup,250,51,9-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:17.0,Dallas Mavericks,timeout,,,,,,,,,,,,,,,,full,,,9-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,6:04.0,Dallas Mavericks,foul,,,,,,,,Delonte West,,Kendrick Perkins,,,,,,Personal,,,9-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,5:59.0,Dallas Mavericks,turnover,,,,,,,,,,Delonte West,,,out of bounds lost ball,,,,,,9-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,5:44.0,Oklahoma City Thunder,shot,,,,,,,,,,Kevin Durant,2,,,missed,,jump-shot,383,222,9-8,22
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,5:42.0,Dallas Mavericks,rebound,,,,,,,,,,Brendan Haywood,,,,,,Defensive,,,9-8,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,5:25.0,Dallas Mavericks,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,layup,251,51,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,5:04.0,Oklahoma City Thunder,shot,,,,,,,,,,Russell Westbrook,2,,,missed,,jump-shot,256,91,9-10,4
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,5:03.0,Dallas Mavericks,rebound,,,,,,,,,,Jason Kidd,,,,,,Defensive,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,4:48.0,Dallas Mavericks,shot,,,,,,,,,,Shawn Marion,2,,,missed,,jump-shot,396,53,9-10,15
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,4:47.0,Oklahoma City Thunder,rebound,,,,,,,,,,Kevin Durant,,,,,,Defensive,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Shawn Marion,Dirk Nowitzki,Delonte West,1,4:47.0,Oklahoma City Thunder,foul,,,,,,,,Kevin Durant,,Shawn Marion,,,,,,Personal,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Dirk Nowitzki,Delonte West,Vince Carter,1,4:47.0,Dallas Mavericks,substitute,,,,Vince Carter,,Shawn Marion,,,,,,,,,,,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,4:47.0,Dallas Mavericks,substitute,,,,Lamar Odom,,Dirk Nowitzki,,,,,,,,,,,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,4:30.0,Oklahoma City Thunder,shot,,,,,,,,,,Russell Westbrook,2,,,missed,,jump-shot,153,193,9-10,17
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,4:27.0,Dallas Mavericks,rebound,,,,,,,,,,Jason Kidd,,,,,,Defensive,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,4:21.0,Dallas Mavericks,turnover,,,,,,,,,,Delonte West,,,lost ball,,Russell Westbrook,,,,9-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,4:15.0,Oklahoma City Thunder,shot,Thabo Sefolosha,,,,,,,,,Serge Ibaka,2,,,made,,jump-shot,267,47,11-10,2
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,3:56.0,Dallas Mavericks,shot,,,,,,,,,,Brendan Haywood,2,,,missed,,jump-shot,252,89,11-10,4
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,3:55.0,Oklahoma City Thunder,rebound,,,,,,,,,,Kendrick Perkins,,,,,,Defensive,,,11-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,3:43.0,Oklahoma City Thunder,foul,,,,,,,,Kevin Durant,,Vince Carter,,,,,,Shooting,,,11-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,3:43.0,Oklahoma City Thunder,free throw,,,,,,, 1,,2,Kevin Durant,,,foul,missed,,,,,11-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Delonte West,Vince Carter,Lamar Odom,1,3:43.0,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,Offensive,,,11-10,
Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,Brendan Haywood,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,1,3:43.0,Dallas Mavericks,substitute,,,,Jason Terry,,Delonte West,,,,,,,,,,,,,11-10,
Kevin Durant,Serge Ibaka,Thabo Sefolosha,Russell Westbrook,Nick Collison,Brendan Haywood,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,1,3:43.0,Oklahoma City Thunder,substitute,,,,Nick Collison,,Kendrick Perkins,,,,,,,,,,,,,11-10,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Brendan Haywood,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,1,3:43.0,Oklahoma City Thunder,substitute,,,,James Harden,,Thabo Sefolosha,,,,,,,,,,,,,11-10,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Brendan Haywood,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,1,3:43.0,Oklahoma City Thunder,free throw,,,,,,, 2,,2,Kevin Durant,,,foul,made,,,,,12-10,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Brendan Haywood,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,1,3:32.0,Dallas Mavericks,foul,,,,,,,,Lamar Odom,,Nick Collison,,,,,,Shooting,,,12-10,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Brendan Haywood,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,1,3:32.0,Dallas Mavericks,free throw,,,,,,, 1,,2,Lamar Odom,,,foul,made,,,,,12-11,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,3:32.0,Dallas Mavericks,substitute,,,,Ian Mahinmi,,Brendan Haywood,,,,,,,,,,,,,12-11,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,3:32.0,Dallas Mavericks,free throw,,,,,,, 2,,2,Lamar Odom,,,foul,made,,,,,12-12,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,3:19.0,Oklahoma City Thunder,shot,,,,,,,,,,Russell Westbrook,2,,,missed,,jump-shot,263,61,12-12,2
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,3:17.0,Dallas Mavericks,rebound,,,,,,,,,,Ian Mahinmi,,,,,,Defensive,,,12-12,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,3:09.0,Dallas Mavericks,shot,,,,,,,,,,Lamar Odom,2,,,missed,,jump-shot,334,210,12-12,18
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,3:08.0,Dallas Mavericks,rebound,,,,,,,,,,Ian Mahinmi,,,,,,Offensive,,,12-12,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,2:58.0,Dallas Mavericks,foul,,,,,,,,Jason Terry,,James Harden,,,,,,Personal,,,12-12,
Kevin Durant,Serge Ibaka,Russell Westbrook,Nick Collison,James Harden,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,2:58.0,Dallas Mavericks,timeout,,,,,,,,,,,,,,,,full,,,12-12,
Kevin Durant,Serge Ibaka,Nick Collison,James Harden,Eric Maynor,Jason Kidd,Vince Carter,Lamar Odom,Jason Terry,Ian Mahinmi,1,2:58.0,Oklahoma City Thunder,substitute,,,,Eric Maynor,,Russell Westbrook,,,,,,,,,,,,,12-12,
